agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
Jim Wells County Constable Pct. 1,Constable/marshal,-9, , , , , ,200 N. Almond, , ,Alice,TX,Jim Wells,78332, , , , ,48249
Waller County Constable Pct. 2,Constable/marshal,-9, , , , , ,27388 Field Store Rd., , ,Waller,TX,Waller,77484, , , , ,48473
Panola College Campus Police,Special jurisdiction,-9, , , , , ,1109 W. Panola, , ,Carthage,TX,Panola,75633, , , , ,48365
St. John The Baptist Parish Sheriff's Office,Sheriff's office,-9, , , , , ,1801 W Airline Hwy,PO Box 1600, ,La Place,LA,St. John the Baptist,70068, , , , ,22095
Austin County Constable Pct. 3,Constable/marshal,-9, , , , , ,P.O. Box 636, , ,Sealy,TX,Austin,77474, , , , ,48015
San Jacinto County Constable Pct. 1,Constable/marshal,-9, , , , , ,Rm. C-4,111 Hwy. 150, ,Coldspring,TX,San Jacinto,77331, , , , ,48407
Fort Bend I.S.D. Police Dept.,Special jurisdiction,-9, , , , , ,13600 Murphy Road,Attn: Jennifer Taylor, ,Stafford,TX,Fort Bend,77477, , , , ,48157
Brown County Constable Pct. 4,Constable/marshal,-9, , , , , ,200 S. Broadway, , ,Brownwood,TX,Brown,76801, , , , ,48049
Rio Grande City C.I.S.D. Police Dept.,Special jurisdiction,-9, , , , , ,Fort Ringgold, , ,Rio Grande City,TX,Starr,78582, , , , ,48427
Upshur County Constable Pct. 3,Constable/marshal,-9, , , , , ,P O Box 730, , ,Gilmer,TX,Upshur,75644, , , , ,48459
San Benito I.S.D. Police Dept.,Special jurisdiction,-9, , , , , ,240 North Crockett St., , ,San Benito,TX,Cameron,78586, , , , ,48061
Karnes County Constable Pct. 3,Constable/marshal,-9, , , , , ,318 N. Johnson, , ,Karnes City,TX,Karnes,78118, , , , ,48255
Scotland County Sheriff's Office,Sheriff's office,-9, , , , , ,117 S Market St Ste 3, , ,Laurinburg,NC,Scotland,28353, , , , ,37165
Blanco County Constable Pct. 1,Constable/marshal,-9, , , , , ,P.O. Box 471, , ,Johnson City,TX,Blanco,78636, , , , ,48031
Valley International Airport Police Dept.,Special jurisdiction,-9, , , , , ,3002 Airline Drive,Airport Terminal Bldg, ,Harlingen,TX,Cameron,78550, , , , ,48061
Polk County Constable Pct. 3,Constable/marshal,-9, , , , , ,Rt 1 Box 12, , ,Moscow,TX,Polk,75960, , , , ,48373
Shelby County Constable Pct. 2,Constable/marshal,-9, , , , , ,560 Cr 2552, , ,Shelbyville,TX,Shelby,75973, , , , ,48419
Columbia Housing Authority Police,Special jurisdiction,-9, , , , , ,1917 Harden Street, , ,Columbia,SC,Richland,29204, , , , ,45079
Pecos County Constable Pct. 4,Constable/marshal,-9, , , , , ,Box 352, , ,Imperial,TX,Pecos,79743, , , , ,48371
Fayette County Constable Pct. 4,Constable/marshal,-9, , , , , ,3331 Krischke Rd, , ,Schulenburg,TX,Fayette,78956, , , , ,48149
Rio Salado Community College,Special jurisdiction,-9, , , , , ,2323 West 14Th Street, , ,Tempe,AZ,Maricopa,85281, , , , ,4013
Tennessee Department of Safety,Primary state law enforcement agency,-9, , , , , ,Menzler-Nix Building,1144 Foster Avenue, ,Nashville,TN,Davidson,37243, , , , ,47037
Williamson County Constable Pct. 3,Constable/marshal,-9, , , , , ,301 South East Inner Loop,Suite 102, ,Georgetown,TX,Williamson,78626, , , , ,48491
White Mountain Apache Tribal Wildlife Enforcement,Special jurisdiction,-9, , , , , ,P. O. Box 220, , ,Whiteriver,AZ,Navajo,85941, , , , ,4017
Southwest I.S.D. Police Dept.,Special jurisdiction,-9, , , , , ,11914 Dragon Ln., , ,San Antonio,TX,Bexar,78252, , , , ,48029
Eastland County Constable Pct. 2,Constable/marshal,-9, , , , , ,3825 Fm 2461, , ,Eastland,TX,Eastland,76448, , , , ,48133
Trinity County Constable Pct. 3,Constable/marshal,-9, , , , , ,P O Box 644, , ,Trinity,TX,Trinity,75862, , , , ,48455
Lousiana Wildlife And Fisheries Dept - Enforcement Division,Special jurisdiction,-9, , , , , ,2000 Quail Drive, , ,Baton Rouge,LA,East Baton Rouge,70808, , , , ,22033
Montgomery County Constable Pct. 1,Constable/marshal,-9, , , , , ,300 S. Danville, , ,Willis,TX,Montgomery,77378, , , , ,48339
Martin Police Department,Local police department,-9, , , , , ,Po Box 687,201 State Street, ,Martin,TN,Weakley,38237, , , , ,47183
Richland Hills City Marshal's Office,Constable/marshal,-9, , , , , ,3200 Diana Drive, , ,Richland Hills,TX,Tarrant,76118, , , , ,48439
Athens I.S.D. Police Dept.,Special jurisdiction,-9, , , , , ,104 Hawn St., , ,Athens,TX,Henderson,75751, , , , ,48213
Aransas County I.S.D. Police Dept.,Special jurisdiction,-9, , , , , ,P. O. Box 907, , ,Rockport,TX,Aransas,78381, , , , ,48007
Newton County Constable Pct. 4,Constable/marshal,-9, , , , , ,132 Pvt 7056, , ,Buna,TX,Newton,77612, , , , ,48351
Tarrant County Constable Pct. 6,Constable/marshal,-9, , , , , ,6551 Granbury Road, , ,Fort Worth,TX,Tarrant,76133, , , , ,48439
Maryland National Capital Park Police - Montgomery County,Special jurisdiction,-9, , , , , ,12751 Layhill Road, , ,Silver Spring,MD,Montgomery,20906, , , , ,24031
North Carolina Crime Control And Public Safety - Butner,Special jurisdiction,-9, , , , , ,611 Central Ave., , ,Butner,NC,Granville,27509, , , , ,37077
Palo Pinto County Constable Pct. 5,Constable/marshal,-9, , , , , ,109 N. Oak, , ,Mineral Wells,TX,Palo Pinto,76067, , , , ,48363
Central I.S.D. Police Dept,Special jurisdiction,-9, , , , , ,7622 Us Hwy 69 N, , ,Pollok,TX,Angelina,75969, , , , ,48005
Anderson County Public Safety - Environmental Enforcement,Special jurisdiction,-9, , , , , ,213 South Towers Street, , ,Anderson,SC,Anderson,29624, , , , ,45007
Guadalupe County Constable Pct. 1,Constable/marshal,-9, , , , , ,2405 East Us-90, , ,Seguin,TX,Guadalupe,78155, , , , ,48187
North Carolina A & T State University Police Dept,Special jurisdiction,-9, , , , , ,Ward Hall,406 Laurel Street, ,Greensboro,NC,Guilford,27411, , , , ,37081
Washington County Constable Pct. 3,Constable/marshal,-9, , , , , ,3500 Zibilski Road, , ,Burton,TX,Washington,77835, , , , ,48477
Upshur County Sheriff's Office,Sheriff's office,-9, , , , , ,38 W Main St Rm 103, , ,Gilmer,TX,Upshur,75644, , , , ,48459
Presidio County Constable Pct. 1,Constable/marshal,-9, , , , , ,P O Box 1141, , ,Marfa,TX,Presidio,79843, , , , ,48377
Lander University Public Safety,Special jurisdiction,-9, , , , , ,Cpo 6028, , ,Greenwood,SC,Greenwood,29649, , , , ,45047
Union County Sheriff's Office,Sheriff's office,-9, , , , , ,250 American Rd, , ,Union,SC,Union,29379, , , , ,45087
Dallam County Constable Pct. 1,Constable/marshal,-9, , , , , ,414 Denver Suite 101, , ,Dalhart,TX,Dallam,79022, , , , ,48111
Stovall Police Department,Local police department,-9, , , , , ,Po Box 100, , ,Stovall,NC,Granville,27582, , , , ,37077
Starr County Sheriff's Office,Sheriff's office,-9, , , , , ,100 E 6Th St, , ,Rio Grande City,TX,Starr,78, , , , ,48427
Bowie County Constable Pct. 4,Constable/marshal,-9, , , , , ,3895 Us Hwy 67 W, , ,Simms,TX,Bowie,75574, , , , ,48037
Pharr Municipal Court,Constable/marshal,-9, , , , , ,1900 S. Cage Blvd., , ,Pharr,TX,Hidalgo,78577, , , , ,48215
Wichita County Constable Pct. 2,Constable/marshal,-9, , , , , ,P O Box 506, , ,Burkburnett,TX,Wichita,76354, , , , ,48485
Val Verde County Constable Pct. 3,Constable/marshal,-9, , , , , ,P. O. Box 828, , ,Del Rio,TX,Val Verde,78841, , , , ,48465
Roma I.S.D. Police Dept.,Special jurisdiction,-9, , , , , ,P.O. Box 187, , ,Roma,TX,Starr,78584, , , , ,48427
Reeves County Sheriff's Office,Sheriff's office,-9, , , , , ,Po Box 910,5th and Oak St, ,Pecos,TX,Reeves,79772, , , , ,48389
134th CES/CEF Tennessee Air National Guard,Career,35,124 Briscoe DR, ,Louisville,TN,37777-6212,124 Briscoe DR, , ,Louisville,TN,Blount,37777-6212,865-336-3316,865-985-3381,Federal government (Department of Defense fire department), , 
161st Air National Guard,Career,26,3200 E Old Tower RD, ,Phoenix,AZ,85034,3200 E Old Tower RD, , ,Phoenix,AZ,Maricopa,85034,602-302-9232, ,Federal government (Department of Defense fire department), , 
Abbeville Fire Department,Career,38,210 W Vermilion ST, ,Abbeville,LA,70510-4612,210 W Vermilion ST, , ,Abbeville,LA,Vermilion,70510-4612,337-898-4258,337-898-4271,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
Aberdeen Proving Ground Fire & Emergency Services,Career,60,2200 Aberdeen BLVD, ,Aberdeen Proving Ground,MD,21005,2200 Aberdeen BLVD, , ,Aberdeen Proving Ground,MD,Harford,21005-5001,410-306-0501,410-306-0535,Federal government (Department of Defense fire department), , 
Abilene Fire Department,Career,198,250 Grape ST, ,Abilene,TX,79601-5607,250 Grape ST, , ,Abilene,TX,Taylor,79601-5607,325-676-6676,325-676-6673,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://abilenetx.gov/city-hall/departments/fire, 
Addison Fire Department,Career,56,4798 Airport PKWY, ,Addison,TX,75001-3364, , ,PO Box 9010,Addison,TX,Dallas,75001-9010,972-450-7201,972-450-7208,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://addisontexas.net/fire, 
Alamo Heights Fire Department,Career,28,6116 Broadway ST, ,Alamo Heights,TX,78209-4545,6116 Broadway ST, , ,Alamo Heights,TX,Bexar,78209-4545,210-824-1281,210-828-3006,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.ci.alamo-heights.tx.us, 
Alice Fire Department,Career,35,601 E 3RD ST, ,Alice,TX,78332, , ,PO Box 3229,Alice,TX,Jim Wells,78333-3229,361-664-3111,361-664-9638,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
Allen Fire Department,Career,80,310 Century  PKWY, ,Allen,TX,75013,310 Century  PKWY, , ,Allen,TX,Collin,75013,972-727-0260,972-727-0265,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofallen.org/Index.aspx?NID=898, 
Amarillo Fire Department,Career,279,310 S Van Buren ST, ,Amarillo,TX,79101-1352,310 S Van Buren ST, , ,Amarillo,TX,Potter,79101-1352,806-378-9360,806-378-9476,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://fire.amarillo.gov/, 
Anderson City Fire Department,Career,59,400 S McDuffie ST, ,Anderson,SC,29624-2362,400 S McDuffie ST, , ,Anderson,SC,Anderson,29624-2362,864-231-2256,864-231-7634,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.andersonfd.com/, 
Annapolis Fire Department,Career,135,1790 Forest DR, ,Annapolis,MD,21401-4206,1790 Forest DR, , ,Annapolis,MD,Anne Arundel,21401-4206,410-263-7975,410-263-1846,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.annapolis.gov/190/Fire, 
Arlington Fire Department,Career,301,620 W Division ST, ,Arlington,TX,76011, , ,PO Box 90231,Arlington,TX,Tarrant,76004-3231,817-459-5500,817-459-5507,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.arlingtontx.gov/, 
Arlington Fire Department,Career,17,11754 Douglas ST, ,Arlington,TN,38002-9333,11754 Douglas ST, , ,Arlington,TN,Shelby,38002-9333,901-867-8905,901-867-2641,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.townofarlington.org/departments/fire_department/index.php, 
Asheboro Fire and Rescue Department,Career,64,401 S Church ST, ,Asheboro,NC,27203,401 S Church ST, , ,Asheboro,NC,Randolph,27203-5615,336-625-4244,336-625-1908,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
Asheville Fire Department,Career,273,100 Court PLZ, ,Asheville,NC,28801, , ,PO Box 7148,Asheville,NC,Buncombe,28802-7148,828-259-5636,828-259-5429,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.ashevillenc.gov/department/fire/, 
Athens Fire / Rescue,Career,27,610 S Prairieville ST, ,Athens,TX,75751-3238,610 S Prairieville ST, , ,Athens,TX,Henderson,75751-3238,903-675-6636,903-677-6640,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
Austin Fire Department,Career,1156,4201 Ed Bluestein BLVD, ,Austin,TX,78721, , ,PO Box 1088,Austin,TX,Travis,78767-1088,512-974-4100,512-974-4101,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.austintexas.gov/department/fire, 
Avondale Fire Medical,Career,69,1825 N 107TH AVE, ,Avondale,AZ,85392-4837,1825 N 107TH AVE, , ,Avondale,AZ,Maricopa,85392-4837,623-333-6000,623-333-0600,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.avondale.org/, 
Avra Valley Fire District,Career,35,15790 W Silverbell RD, ,Marana,AZ,85653-9577,15790 W Silverbell RD, , ,Marana,AZ,Pima,85653-9577,520-682-3255,520-682-5458,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://avfire.org/, 
Azle Fire Department,Career,24,900 Lakeview DR, ,Azle,TX,76020,900 Lakeview DR, , ,Azle,TX,Tarrant,76020-3720,817-444-7108,817-444-7088,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofazle.org/24/Fire-Department-EMS, 
Balch Springs Fire Department,Career,31,12500 Elam RD, ,Balch Springs,TX,75180,12500 Elam RD, , ,Balch Springs,TX,Dallas,75180,972-557-6040,972-557-9321,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.bsfr.com, 
Balcones Heights Fire Department,Career,16,111 Altgelt AVE, ,San Antonio,TX,78201,3300 Hillcrest DR, , ,San Antonio,TX,Bexar,78201-7044,210-735-9206,210-732-2869,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
Baltimore City Fire Department,Career,1625,401 East Fayette ST, ,Baltimore,MD,21202,401 East Fayette ST, , ,Baltimore,MD,Baltimore City,21202-3426,410-396-3083,443-984-5001,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.baltimorecity.gov/Government/AgenciesDepartments/Fire.aspx, 
Bastrop Fire Department,Career,40,717 N Marable ST, ,Bastrop,LA,71220,717 N Marable ST, , ,Bastrop,LA,Morehouse,71220-2939,318-283-3353,318-283-7009,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
Baton Rouge Fire Department,Career,555,8011 Merle Gustafson DR, ,Baton Rouge,LA,70807,8011 Merle Gustafson DR, , ,Baton Rouge,LA,East Baton Rouge,70807-5202,225-354-1400,225-354-1427,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.brla.gov/911/Fire-Department, 
Bayou Cane Fire Protection District,Career,50,6166 W Main ST, ,Houma,LA,70360-1791,6166 W Main ST, , ,Houma,LA,Terrebonne,70360-1791,985-580-7230,985-580-7238,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.bcfire.org/, 
Baytown Fire Department,Career,162,201 E Wye DR, ,Baytown,TX,77521-4130,201 E Wye DR, , ,Baytown,TX,Harris,77521-4130,281-422-2311,281-420-5367,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.baytown.org/city-hall/departments/fire, 
Beaumont Fire/ Rescue Services,Career,235,400 Walnut ST, ,Beaumont,TX,77701, , ,PO Box 3827,Beaumont,TX,Jefferson,77704-3827,409-880-3901,409-880-3934,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://fire.beaumonttexas.gov/, 
Bedford Fire Department,Career,69,1816 Bedford RD, ,Bedford,TX,76021-5706,1816 Bedford RD, , ,Bedford,TX,Tarrant,76021-5706,817-952-2500,817-952-2540,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.bedfordfire.net/, 
Belton Fire Department,Career,33,420 Sparta RD, ,Belton,TX,76513, , ,PO Box 120,Belton,TX,Bell,76513-0120,254-933-5881,254-933-5887,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.beltontexas.gov/, 
Big Spring Fire Department,Career,62,1401 Apron DR, ,Big Spring,TX,79720,1401 Apron DR, , ,Big Spring,TX,Howard,79720-7806,432-264-2304,432-264-2399,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
Bisbee Fire Department,Career,20,192 HWY 92, ,Bisbee,AZ,85603,192 HWY 92, , ,Bisbee,AZ,Cochise,85603,520-432-4110,520-432-2594,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
Bledsoe County Volunteer Fire Department District #5,Career,15,RR 5,PO Box 111,Pikeville,TN,37367, , ,PO Box 111,Pikeville,TN,Bledsoe,37367-0111,423-447-6561,423-447-7419,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
Bluffton Township Fire District,Career,144,357 Fording Island RD, ,Okatie,SC,29909-6134,357 Fording Island RD, , ,Okatie,SC,Beaufort,29909-6134,843-757-2800,843-757-7305,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://blufftonfd.com, 
Boeing Mesa Fire Department,Career,20,5000 E McDowell RD,Fire Station 9 - Building 50-590,Mesa,AZ,85215-9797,5000 E McDowell RD,Fire Station 9 - Building 50-592, ,Mesa,AZ,Maricopa,85215-9797,480-891-3911,206-655-3917,Private or industrial fire brigade,http://www.boeing.com/features/2014/12/bca-fire-dept-12-01-14.page, 
Bogalusa Fire Department,Career,32,200 Arkansas AVE, ,Bogalusa,LA,70427-3810,200 Arkansas AVE, , ,Bogalusa,LA,Washington,70427-3810,985-516-3780,985-732-3473,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
Borger Fire Department,Career,26,200 N Cedar ST, ,Borger,TX,79007-4026,200 N Cedar ST, , ,Borger,TX,Hutchinson,79007-4026,806-273-0948,806-273-3259,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
Bossier City Fire Department,Career,185,620 Benton RD, ,Bossier City,LA,71111, , ,PO Box 5337,Bossier City,LA,Bossier,71171-5337,318-741-8700,318-741-8739,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.bossiercity.org/Fire/, 
Brentwood Fire & Rescue Department,Career,67,5211 Maryland WAY, ,Brentwood,TN,37024, , ,PO Box 788,Brentwood,TN,Williamson,37024-0788,615-371-0170,615-661-7074,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.brentwoodtn.gov/departments/fire-and-rescue, 
Bristol TN Fire Department,Career,67,211 Bluff City HWY, ,Bristol,TN,37620-4214,211 Bluff City HWY, , ,Bristol,TN,Sullivan,37620-4214,423-989-5701,423-989-5706,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.bristoltn.org/, 
Brownsville Fire Department,Career,192,1150 E Adams ST,2ND FL,Brownsville,TX,78520-5804,1150 E Adams ST,2ND FL, ,Brownsville,TX,Cameron,78520-5804,956-546-3195,956-546-8539,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cob.us/374/Fire-Department, 
Brownwood Fire Department,Career,35,600 E Adams ST, ,Brownwood,TX,76801,600 E Adams ST, , ,Brownwood,TX,Brown,76801-7008,325-646-6743,325-643-9483,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
Bryan Fire Department,Career,139,300 W William J. Bryan PKWY, ,Bryan,TX,77803-3226,300 W William J. Bryan PKWY, , ,Bryan,TX,Brazos,77803-3226,979-209-5970,979-209-5989,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.bryantx.gov/fire/, 
Buckeye Fire Department,Career,84,404 S Miller RD, ,Buckeye,AZ,85326-6454,404 S Miller RD, , ,Buckeye,AZ,Maricopa,85326-6454,623-349-6700,623-349-6750,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.buckeyeaz.gov/fire, 
Buckeye Valley Rural Volunteer Fire Department,Career,68,25206 W MC 85,PO Box 75,Buckeye,AZ,85326, , ,PO Box 75,Buckeye,AZ,Maricopa,85326-0006,623-386-5906,623-386-5766,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.buckeyevalleyfd.com/, 
Burleson Fire Department,Career,50,141 W Renfro ST, ,Burleson,TX,76028-4261,141 W Renfro ST, , ,Burleson,TX,Johnson,76028-4261,817-426-9170,817-426-9380,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.burlesontx.com/, 
Burlington Fire Department,Career,90,215 S Church ST, ,Burlington,NC,27215,215 S Church ST, , ,Burlington,NC,Alamance,27215-3708,336-229-3563,336-229-3547,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.ci.burlington.nc.us/index.aspx?NID=48, 
BWI Airport Fire & Rescue Department,Career,87,1200 Mathison WAY, ,BWI Airport,MD,21240,1200 Mathison WAY, , ,BWI Airport,MD,Anne Arundel,21240-2010,410-859-7478,410-859-7681,State government (includes state forest fire agencies and state institution fire departments),https://www.marylandaviation.com/content/environmental/firerescuedept.html, 
Camp Lejeune Fire & Emergency Services,Career,157,58 Virginia Dare DR, ,Camp Lejeune,NC,28547-2527,58 Virginia Dare DR, , ,Camp Lejeune,NC,Onslow,28547-2527,910-451-7100,910-451-5976,Federal government (Department of Defense fire department),https://www.lejeune.usmc.mil/, 
Canyon Lake Fire / EMS,Career,39,1074 Scissortail, ,Canyon Lake,TX,78133, , ,PO Box 2140,Canyon Lake,TX,Comal,78133-0024,830-907-2922,830-907-2923,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://canyonlakefire-ems.org/, 
Carefree Fire Department,Career,20,37401 N Tom Darlington DR, ,Carefree,AZ,85377, , ,PO Box 753,Carefree,AZ,Maricopa,85377-0753,480-488-0347,480-575-4362,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.carefree.org/, 
Carrboro Fire-Rescue Department,Career,36,301 W Main ST, ,Carrboro,NC,27510,301 W Main ST, , ,Carrboro,NC,Orange,27510-2029,919-918-7347,919-932-5359,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://carrborofire.org/179/Fire-Rescue, 
Carrollton Fire Rescue,Career,166,1111 W Belt Line RD, ,Carrollton,TX,75006, , ,PO Box 110535,Carrollton,TX,Dallas,75011-0535,972-466-3070,972-466-4886,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofcarrollton.com/, 
Cary Fire Department,Career,237,100 N Academy ST, ,Cary,NC,27511,100 N Academy ST, , ,Cary,NC,Wake,27511-3337,919-469-4056,919-460-4911,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.carync.gov/services-publications/fire, 
Castle Hills Fire Department,Career,19,209 Lemonwood DR, ,San Antonio,TX,78213-2410,209 Lemonwood DR, , ,San Antonio,TX,Bexar,78213-2410,210-342-2341,210-341-6188,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofcastlehills.com/, 
Cedar Hill Fire Department,Career,74,1212 W Belt Line RD, ,Cedar Hill,TX,75104-1605,1212 W Belt Line RD, , ,Cedar Hill,TX,Dallas,75104-1605,972-291-1011,972-291-3473,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cedarhilltx.com/535/Fire, 
Cedar Park Fire Department,Career,85,"450 Cypress Creek RD, BLDG 6", ,Cedar Park,TX,78613-4198,"450 Cypress Creek RD, BLDG 6", , ,Cedar Park,TX,Williamson,78613-4198,512-401-5220,512-260-2464,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cedarparktexas.gov/departments/fire-department, 
Central Arizona Fire and Medical Authority,Career,122,8603 E Eastridge DR, ,Prescott Valley,AZ,86314,8603 E Eastridge DR, , ,Prescott Valley,AZ,Yavapai,86314,928-308-5130, ,"Local (includes career, combination, and volunteer fire departments and fire districts)",www.cazfire.org, 
Chandler Fire Department,Career,202,151 E Boston ST, ,Chandler,AZ,85225,Mail Stop 801, ,PO Box 4008,Chandler,AZ,Maricopa,85244-4008,480-782-2121,480-782-2125,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.chandleraz.gov/default.aspx?pageid=900, 
Chapel Hill Fire Department,Career,92,403 Martin Luther King Jr BLVD, ,Chapel Hill,NC,27514,403 Martin Luther King Jr BLVD, , ,Chapel Hill,NC,Orange,27514-5705,919-968-2781,919-932-2956,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.townofchapelhill.org/town-hall/departments-services/fire-department, 
Charleston Fire Department,Career,381,1451 King ST EXT, ,Charleston,SC,29405-9329,1451 King ST EXT, , ,Charleston,SC,Charleston,29405-9329,843-720-1981,843-720-3991,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.charleston-sc.gov/212/Fire-Department, 
Charlotte Fire Department,Career,1056,500 Dalton AVE, ,Charlotte,NC,28206-3031,500 Dalton AVE, , ,Charlotte,NC,Mecklenburg,28206-3031,704-336-4174,704-336-4170,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://charlottenc.gov/fire/Pages/default.aspx, 
Chattanooga Fire Department,Career,404,910 Wisdom ST, ,Chattanooga,TN,37406-1750,910 Wisdom ST, , ,Chattanooga,TN,Hamilton,37406-1750,423-643-5600,423-643-5610,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.chattanooga.gov/fire-department, 
Cherry Point Fire Department,Career,42,PSC Box 8035 Building 4875 F ST, ,MCAS Cherry Point,NC,28533,PSC Box 8035 Building 4875 F ST, , ,Cherry Point,NC,Craven,28533,252-466-2351,252-466-3371,Federal government (Department of Defense fire department),https://home.coxnc.rr.com/cpfd, 
City of Alcoa Fire Department,Career,37,2010 N Wright RD, ,Alcoa,TN,37701,2010 N Wright RD, , ,Alcoa,TN,Blount,37701-3804,865-380-4999,865-380-4989,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
City of Alexandria Fire Department,Career,118,1000 Bolton AVE, ,Alexandria,LA,71301-6829,1000 Bolton AVE, , ,Alexandria,LA,Rapides,71301-6829,318-441-6600,318-441-6605,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
City of Burnet Fire Department,Career,41,2002 S Water ST, ,Burnet,TX,78611, , ,PO Box 1369,Burnet,TX,Burnet,78611-1369,512-756-2662,512-756-4565,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofburnet.com/fire, 
City of Casa Grande Fire Department,Career,65,377 E Val Vista BLVD, ,Casa Grande,AZ,85122-6900,377 E Val Vista BLVD, , ,Casa Grande,AZ,Pinal,85122-6900,520-421-8777,520-836-1129,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://casagrandeaz.gov/dept/fire/, 
City of Clinton Fire Department,Career,36,222 Wall  ST,PO Box 199,Clinton,NC,28329,222 Wall  ST,PO Box 199,PO Box ,Clinton,NC,Sampson,28329,910-592-1961,910-590-2923,"Local (includes career, combination, and volunteer fire departments and fire districts)", , 
City of Conover Fire Department,Career,45,1225 Conover BLVD E, ,Conover,NC,28613, , ,PO Box 549,Conover,NC,Catawba,28613-0549,828-464-1295,828-464-1253,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.conovernc.gov/fire, 
City of El Mirage Fire Department,Career,27,13601 N El Mirage RD, ,El Mirage,AZ,85335-3265,13601 N El Mirage RD, , ,El Mirage,AZ,Maricopa,85335-3265,623-583-7968,623-583-8257,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.elmirageaz.gov/1247/Fire-Department, 
City of Gastonia Fire Department,Career,142,260 N Myrtle School RD, ,Gastonia,NC,28052,260 N Myrtle School RD, , ,Gastonia,NC,Gaston,28052-1258,704-866-6806,704-866-6052,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://gastonianc.gov/fire-main.html, 
City of Goose Creek Fire Department,Career,59,201 Brandywine BLVD, ,Goose Creek,SC,29445, , ,PO Box 1768,Goose Creek,SC,Berkeley,29445-1768,843-553-8350,843-863-5214,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofgoosecreek.com/, 
